Category,Subcategory,Name,Scientific name,Life list date,Life list location,CA obsv (RG 7.3.24),Bay obsv (RG 7.3.24),Bay peak month,CA peak month,Notes
Lizards,Phrynosomatid Lizards,Western Fence Lizard,Sceloporus occidentalis,2023-04-22,US-CA,"121,366","30,867",,,
Mammals,Deer,Mule Deer,Odocoileus hemionus,2023-07-02,US-CA,"48,313","21,856",,,
Butterflies,Milkweed Butterflies,Monarch,Danaus plexippus,2023-07-25,US-CA,"38,603","13,379",,,
Mammals,Squirrels,California Ground Squirrel,Otospermophilus beecheyi,2023-04-15,US-CA,"38,064","9,181",,,
Lizards,Phrynosomatid Lizards,Common Side-blotched Lizard,Uta stansburiana,2023-11-25,US-CA,"34,381",155,,,
Mammals,Squirrels,Eastern Fox Squirrel,Sciurus niger,2023-08-16,US-CA,"31,959","8,282",,,
Frogs & Toads,Tree Frogs & Allies,Pacific Chorus Frog,Pseudacris regilla,2023-08-20,US-CA,"31,387","11,575",,,
Flowering Plants,Monkeyflowers,Orange Bush Monkeyflower,Diplacus aurantiacus,2023-04-23,US-CA,"29,788","22,417",,,
Lizards,Glass & Alligator Lizards,Southern Alligator Lizard,Elgaria multicarinata,2023-09-24,US-CA,"27,546","7,439",,,
Mammals,Canids,Coyote,Canis latrans,2023-03-18,US-CA,"26,156","9,971",,,
Sea Stars,Asteriid Sea Stars,Ochre Sea Star,Pisaster ochraceus,2024-07-07,US-CA,"25,949","14,327",,,
Snakes,Colubrid Snakes,Gopher Snake,Pituophis catenifer,2023-06-12,US-CA,"25,870","9,368",,,
Newts & Salamanders,Newts,California Newt,Taricha torosa,2024-02-11,US-CA,"24,794","20,914",,,
Mammals,Hares & Rabbits,Desert Cottontail,Sylvilagus audubonii,2023-11-25,US-CA,"19,809",897,,,
Newts & Salamanders,Lungless Salamanders,California Slender Salamander,Batrachoseps attenuatus,2024-12-22,US-CA,"18,889","15,663",,,
Snakes,Vipers,Western Rattlesnake,Crotalus oreganus,2023-09-13,US-CA,"18,499","4,287",,,
Mammals,Eared Seals,California Sea Lion,Zalophus californianus,2023-02-18,US-CA,"18,340","4,626",,,
Butterflies,Checkerspots & Anglewings,Painted Lady,Vanessa cardui,2023-04-23,US-CA,"17,956","5,812",,,
Moths,Sphinx Moths,White-lined Sphinx,Hyles lineata,2023-08-19,US-CA,"17,590","2,090",,,
Butterflies,Checkerspots & Anglewings,Gray Buckeye,Junonia grisea,2023-07-25,US-CA,"16,171","8,516",,,
Butterflies,Grass Skippers,Fiery Skipper,Hylephila phyleus,2023-07-28,US-CA,"15,749","4,952",,,
