Category,Subcategory,Name,Scientific name,Life list date,CA obsv (RG 5.5.26),Bay obsv (RG 5.5.26),Peak,Other 1,Other 2,Notes,R1,R1 peak,R2,R2 peak,R3,R3 peak,Star,Marine
Lizards,Phrynosomatid Lizards,Western Fence Lizard,Sceloporus occidentalis,2023-04-22,"166,753","44,285",,,,,,,,,,,,No
Mammals,Deer,Mule Deer,Odocoileus hemionus,2023-07-02,"68,614","29,733",,,,,,,,,,,,No
Butterflies,Milkweed Butterflies,Monarch,Danaus plexippus,2023-07-25,"58,101","20,878",,,,,,,,,,,,No
Mammals,Squirrels,California Ground Squirrel,Otospermophilus beecheyi,2023-04-15,"54,463","13,445",,,,,,,,,,,,No
Lizards,Phrynosomatid Lizards,Common Side-blotched Lizard,Uta stansburiana,2023-11-25,"47,647",195,,,,,,,,,,,,No
Frogs & Toads,Tree Frogs & Allies,Pacific Chorus Frog,Pseudacris regilla,2023-08-20,"45,668","16,856",,,,,,,,,,,,No
Mammals,Squirrels,Eastern Fox Squirrel,Sciurus niger,2023-08-16,"44,991","12,726",,,,,,,,,,,,No
Mammals,Canids,Coyote,Canis latrans,2023-03-18,"38,845","14,190",,,,,,,,,,,,No
Lizards,Glass & Alligator Lizards,Southern Alligator Lizard,Elgaria multicarinata,2023-09-24,"36,481","10,234",,,,,,,,,,,,No
Snakes,Colubrid Snakes,Gopher Snake,Pituophis catenifer,2023-06-12,"36,029","13,254",,,,,,,,,,,,No
Salamanders,Newts,California Newt,Taricha torosa,2024-02-11,"35,019","29,966",,,,,,,,,,,,No
Flowers,Monkeyflowers,Orange Bush Monkeyflower,Diplacus aurantiacus,2023-04-23,"29,788","22,417",,,,,,,,,,,,No
Salamanders,Lungless Salamanders,California Slender Salamander,Batrachoseps attenuatus,2024-12-22,"28,287","23,161",,,,,,,,,,,,No
Mammals,Eared Seals,California Sea Lion,Zalophus californianus,2023-02-18,"28,012","7,324",,,,,,,,,,,,Yes
Mammals,Hares & Rabbits,Desert Cottontail,Sylvilagus audubonii,2023-11-25,"27,432","1,400",,,,,,,,,,,,No
Snakes,Vipers,Western Rattlesnake,Crotalus oreganus,2023-09-13,"26,618","6,523",,,,,,,,,,,,No
Butterflies,Grass Skippers,Fiery Skipper,Hylephila phyleus,2023-07-28,"24,904","7,866",,,,,,,,,,,,No
Moths,Sphinx Moths,White-lined Sphinx,Hyles lineata,2023-08-19,"23,367","2,933",,,,,,,,,,,,No
